file,loc,noc,bf,bug,buggy
internal::codeassist::complete::CompletionOnBrankStatementLabel ,23,3,1,0,N
core::dom::QualifiedType ,107,34,6,0,N
internal::core::ReconcileWorkingCopyOperation ,190,70,31,0,N
internal::core::builder::CompilationParticipantResult ,19,6,3,0,N
core::compiler::CompilationParticipant ,24,18,5,1,Y
internal::compiler::lookup::MethodBinding ,724,142,34,3,Y
internal::core::hierarchy::HierarchyResolver ,629,112,36,0,N
internal::compiler::ast::ParameterizedSingleTypeReference ,244,71,29,1,Y
internal::codeassist::complete::CompletionOnJavadocMessageSend ,56,3,3,0,N
internal::core::search::indexing::AddFolderToIndex ,79,32,5,0,N
internal::core::BasicCompilationUnit ,71,43,3,0,N
internal::compiler::lookup::BinaryTypeBinding ,947,177,46,1,Y
internal::compiler::lookup::RawTypeBinding ,129,66,24,0,N
internal::core::SortElementsOperation ,281,49,14,0,N
internal::compiler::lookup::CompilationUnitScope ,687,148,34,4,Y
core::search::FieldDeclarationMatch ,3,17,0,0,N
core::jdom::DOMException ,3,21,1,0,N
internal::compiler::flow::UnconditionalFlowInfo ,1440,70,15,0,N
internal::core::util::ConstantValueAttribute ,11,14,0,0,N
internal::codeassist::complete::CompletionOnClassLiteralAccess ,17,27,0,0,N
internal::compiler::batch::FileSystem ,198,64,18,0,N
internal::compiler::problem::ShouldNotImplement ,3,18,0,0,N
internal::codeassist::complete::CompletionScanner ,796,85,24,0,N
internal::compiler::ast::NumberLiteral ,11,17,0,0,N
internal::eval::CodeSnippetScope ,308,63,11,2,Y
internal::codeassist::select::SelectionOnImportReference ,12,25,0,0,N
internal::compiler::codegen::Label ,3,57,10,0,N
internal::compiler::ast::JavadocQualifiedTypeReference ,48,34,23,0,N
internal::core::search::matching::JavaSearchPattern ,306,33,21,1,Y
core::dom::RecoveredVariableBinding ,87,2,4,0,N
core::CompletionProposal ,347,50,19,1,Y
